threshold,acc,precision,recall,tpr,f1,fpr,fnr,TN,FP,FN,TP
0.0010000,0.8665500,0.7896922,0.9992042,0.9992041666666667,0.8821794,0.26610416666666664,0.0007958,352270,127730,382,479618
0.0030000,0.9095208333333333,0.8478696369286528,0.9981333333333333,0.9981333333333333,0.9168857911638285,0.17909166666666668,0.0018667,394036,85964,896,479104
0.0050000,0.9253395833333333,0.8717150,0.9974708333333333,0.9974708333333333,0.9303626,0.14679166666666665,0.0025292,409540,70460,1214,478786
0.0070000,0.9343708333333334,0.8860244836294425,0.9969916666666667,0.9969916666666667,0.9382383964176623,0.1282500,0.0030083,418440,61560,1444,478556
0.0090000,0.9402250,0.8956900813446587,0.9965000,0.9965000,0.9434096234408653,0.1160500,0.0035000,424296,55704,1680,478320
0.0110000,0.9445833333333333,0.9030217186024552,0.9961458333333333,0.9961458333333333,0.9473006438831104,0.10697916666666667,0.0038542,428650,51350,1850,478150
0.013000000000000001,0.9479000,0.9087580138564617,0.9957791666666667,0.9957791666666667,0.9502805269373457,0.0999792,0.0042208,432010,47990,2026,477974
0.0150000,0.9505041666666667,0.9133634598033369,0.9954291666666667,0.9954291666666667,0.9526321665829287,0.0944208,0.0045708,434678,45322,2194,477806
0.0170000,0.9528938,0.9175883914541801,0.9951666666666666,0.9951666666666666,0.9548043,0.0893792,0.0048333,437098,42902,2320,477680
0.019000000000000003,0.9549375,0.9212254251411993,0.9949541666666667,0.9949541666666667,0.9566713674460345,0.0850792,0.0050458,439162,40838,2422,477578
0.0210000,0.9566563,0.9243704962847374,0.9946958333333333,0.9946958333333333,0.9582446077240953,0.0813833,0.0053042,440936,39064,2546,477454
0.0230000,0.9581791666666667,0.9271934050223769,0.9944458333333334,0.9944458333333334,0.9596428,0.0780875,0.0055542,442518,37482,2666,477334
0.0250000,0.9595083333333333,0.9296846387020861,0.9942125,0.9942125,0.9608664312263168,0.0751958,0.0057875,443906,36094,2778,477222
0.027000000000000003,0.9605625,0.9317537322177694,0.9939250,0.9939250,0.9618357546359578,0.0728000,0.0060750,445056,34944,2916,477084
0.0290000,0.9615875,0.9337684813933091,0.9936541666666666,0.9936541666666666,0.9627810,0.0704792,0.0063458,446170,33830,3046,476954
0.0310000,0.9624791666666667,0.9355238685678859,0.9934250,0.9934250,0.9636054270552527,0.0684667,0.0065750,447136,32864,3156,476844
0.0330000,0.9633625,0.9372478709099059,0.9932250,0.9932250,0.9644248625423297,0.0665000,0.0067750,448080,31920,3252,476748
0.0350000,0.9642083333333333,0.9389296,0.9930041666666667,0.9930041666666667,0.9652101364459258,0.0645875,0.0069958,448998,31002,3358,476642
0.037000000000000005,0.9649020833333334,0.9403819815837355,0.9927416666666666,0.9927416666666666,0.9658527291264242,0.0629375,0.0072583,449790,30210,3484,476516
0.0390000,0.9655729166666667,0.9417147962350225,0.9925791666666667,0.9925791666666667,0.9664782143893152,0.0614333,0.0074208,450512,29488,3562,476438
0.0410000,0.9661063,0.9428720738268584,0.9923375,0.9923375,0.9669725999866015,0.0601250,0.0076625,451140,28860,3678,476322
0.043000000000000003,0.9666333333333333,0.9439264932058539,0.9922083333333334,0.9922083333333334,0.9674654055854844,0.0589417,0.0077917,451708,28292,3740,476260
0.0450000,0.9671313,0.9449275132254135,0.9920833333333333,0.9920833333333333,0.9679314276886928,0.057820833333333335,0.0079167,452246,27754,3800,476200
0.0470000,0.9676438,0.9460245675249271,0.9918791666666666,0.9918791666666666,0.9684093622681961,0.056591666666666665,0.0081208,452836,27164,3898,476102
0.0490000,0.9680979166666667,0.9469693051383556,0.9917333333333334,0.9917333333333334,0.9688345256388078,0.0555375,0.0082667,453342,26658,3968,476032
0.051000000000000004,0.9685625,0.9479386576379207,0.9915833333333334,0.9915833333333334,0.9692699317788414,0.0544583,0.0084167,453860,26140,4040,475960
0.053000000000000005,0.9690645833333333,0.9489748304013337,0.9914375,0.9914375,0.9697415530455089,0.0533083,0.0085625,454412,25588,4110,475890
0.0550000,0.9694208333333333,0.9497768,0.9912583333333334,0.9912583333333334,0.9700743350418568,0.0524167,0.0087417,454840,25160,4196,475804
0.0570000,0.9698208333333334,0.9506314443289905,0.9911125,0.9911125,0.9704500020399005,0.051470833333333334,0.0088875,455294,24706,4266,475734
0.059000000000000004,0.9702020833333334,0.9514572040085612,0.9909625,0.9909625,0.9708081189472717,0.0505583,0.0090375,455732,24268,4338,475662
0.0610000,0.9705520833333333,0.9522383158670346,0.9908000,0.9908000,0.9711365088959178,0.049695833333333335,0.0092000,456146,23854,4416,475584
0.0630000,0.9708645833333334,0.9529449487965691,0.9906458333333333,0.9906458333333333,0.9714297388124495,0.048916666666666664,0.0093542,456520,23480,4490,475510
0.0650000,0.9711770833333333,0.9536237348919118,0.9905250,0.9905250,0.9717241618927133,0.048170833333333336,0.0094750,456878,23122,4548,475452
0.0670000,0.9715188,0.9543281101328484,0.9904375,0.9904375,0.9720475749415741,0.0474000,0.0095625,457248,22752,4590,475410
0.0690000,0.9717895833333333,0.9549214741722546,0.9903291666666667,0.9903291666666667,0.9723030728228121,0.0467500,0.0096708,457560,22440,4642,475358
0.0710000,0.9720229166666666,0.9554612084735473,0.9902041666666667,0.9902041666666667,0.9725224921070454,0.046158333333333336,0.0097958,457844,22156,4702,475298
0.0730000,0.9722563,0.9560200366130882,0.9900583333333334,0.9900583333333334,0.9727415079470674,0.045545833333333334,0.0099417,458138,21862,4772,475228
0.0750000,0.9724500,0.9564881316628555,0.9899333333333333,0.9899333333333333,0.9729233894085079,0.045033333333333335,0.010066666666666666,458384,21616,4832,475168
0.0770000,0.9726854166666666,0.9570449573551748,0.9897958333333333,0.9897958333333333,0.9731449183041009,0.0444250,0.010204166666666667,458676,21324,4898,475102
0.0790000,0.9729083333333334,0.9575462190294205,0.9896958333333333,0.9896958333333333,0.9733556,0.043879166666666664,0.010304166666666666,458938,21062,4946,475054
0.0810000,0.9731125,0.9580281076545759,0.9895791666666667,0.9895791666666667,0.9735480750311536,0.043354166666666666,0.010420833333333334,459190,20810,5002,474998
0.0830000,0.9733041666666666,0.9585392042885745,0.9894041666666666,0.9894041666666666,0.9737271594003215,0.0427958,0.010595833333333334,459458,20542,5086,474914
0.0850000,0.9735083333333333,0.9590334776707814,0.9892750,0.9892750,0.9739195353263544,0.042258333333333335,0.0107250,459716,20284,5148,474852
0.0870000,0.9736833333333333,0.9594703828246249,0.9891500,0.9891500,0.9740841649159664,0.0417833,0.0108500,459944,20056,5208,474792
0.0890000,0.9738270833333333,0.9598532914397092,0.9890208333333333,0.9890208333333333,0.9742187964941011,0.0413667,0.010979166666666667,460144,19856,5270,474730
0.0910000,0.9739854166666667,0.9602675265928392,0.9888875,0.9888875,0.9743673958694702,0.040916666666666664,0.0111125,460360,19640,5334,474666
0.0930000,0.9741313,0.9606850063763891,0.9887250,0.9887250,0.9745033418548064,0.0404625,0.0112750,460578,19422,5412,474588
0.0950000,0.9742375,0.9609991413249518,0.9885958333333333,0.9885958333333333,0.9746021705018774,0.040120833333333335,0.011404166666666667,460742,19258,5474,474526
0.0970000,0.9743938,0.9614182833567715,0.9884541666666666,0.9884541666666666,0.9747487924988032,0.0396667,0.011545833333333333,460960,19040,5542,474458
0.0990000,0.9745250,0.9617611521525824,0.9883458333333334,0.9883458333333334,0.9748722859479608,0.039295833333333335,0.011654166666666667,461138,18862,5594,474406
0.1010000,0.9746688,0.9621352567249066,0.9882291666666667,0.9882291666666667,0.9750076565901145,0.038891666666666665,0.011770833333333333,461332,18668,5650,474350
0.10300000000000001,0.9747958333333333,0.9624859976946929,0.9881041666666667,0.9881041666666667,0.9751268534585557,0.0385125,0.011895833333333333,461514,18486,5710,474290
0.10500000000000001,0.9749104166666667,0.9628173841012543,0.9879750,0.9879750,0.9752339744710254,0.0381542,0.0120250,461686,18314,5772,474228
0.1070000,0.9750188,0.9631636894000641,0.9878166666666667,0.9878166666666667,0.9753344180621751,0.0377792,0.012183333333333332,461866,18134,5848,474152
0.1090000,0.9751188,0.9634645477269494,0.9876916666666666,0.9876916666666666,0.9754276955363297,0.0374542,0.012308333333333333,462022,17978,5908,474092
0.1110000,0.9752750,0.9638526290106136,0.9875875,0.9875875,0.9755757238994875,0.0370375,0.0124125,462222,17778,5958,474042
0.1130000,0.9753854166666667,0.9641548043790453,0.9874833333333334,0.9874833333333334,0.9756796423270969,0.0367125,0.012516666666666667,462378,17622,6008,473992
0.1150000,0.9755020833333333,0.9644387649206201,0.9874125,0.9874125,0.9757904294064239,0.036408333333333334,0.0125875,462524,17476,6042,473958
0.1170000,0.9755833333333334,0.9647015715332627,0.9872916666666667,0.9872916666666667,0.9758659033812446,0.0361250,0.012708333333333334,462660,17340,6100,473900
0.11900000000000001,0.9757041666666667,0.9650014,0.9872125,0.9872125,0.9759805900429228,0.035804166666666665,0.0127875,462814,17186,6138,473862
0.1210000,0.9758000,0.9652959440627826,0.9870875,0.9870875,0.9760701086486285,0.0354875,0.0129125,462966,17034,6198,473802
0.1230000,0.9758854166666666,0.9655445092548435,0.9869916666666667,0.9869916666666667,0.9761502974258806,0.0352208,0.013008333333333334,463094,16906,6244,473756
0.1250000,0.9759520833333334,0.9658033919316231,0.9868458333333333,0.9868458333333333,0.9762112322223115,0.0349417,0.013154166666666666,463228,16772,6314,473686
0.1270000,0.9760416666666667,0.9660602104919638,0.9867500,0.9867500,0.9762955023292246,0.034666666666666665,0.0132500,463360,16640,6360,473640
0.1290000,0.9761416666666667,0.9663559640216132,0.9866333333333334,0.9866333333333334,0.9763893814067409,0.0343500,0.013366666666666667,463512,16488,6416,473584
0.1310000,0.9762083333333333,0.9665659699542782,0.9865416666666667,0.9865416666666667,0.9764517,0.0341250,0.013458333333333333,463620,16380,6460,473540
0.1330000,0.9763250,0.9668632383690539,0.9864583333333333,0.9864583333333333,0.9765625000000001,0.033808333333333336,0.013541666666666667,463772,16228,6500,473500
0.1350000,0.9763938,0.9670927653107497,0.9863500,0.9863500,0.9766265,0.0335625,0.0136500,463890,16110,6552,473448
0.1370000,0.9764645833333333,0.9673111266402671,0.9862583333333333,0.9862583333333333,0.9766928477556267,0.0333292,0.013741666666666666,464002,15998,6596,473404
0.1390000,0.9765541666666666,0.9676302232398397,0.9860958333333333,0.9860958333333333,0.9767758,0.0329875,0.013904166666666667,464166,15834,6674,473326
0.14100000000000001,0.9766604166666667,0.9679085766639808,0.9860125,0.9860125,0.9768766679945261,0.0326917,0.0139875,464308,15692,6714,473286
0.14300000000000002,0.9767458333333333,0.9681590,0.9859166666666667,0.9859166666666667,0.9769571554204979,0.0324250,0.014083333333333333,464436,15564,6760,473240
0.14500000000000002,0.9768333333333333,0.9683905928963762,0.9858458333333333,0.9858458333333333,0.9770402580080358,0.0321792,0.014154166666666667,464554,15446,6794,473206
0.1470000,0.9768958333333333,0.9685939112064589,0.9857541666666667,0.9857541666666667,0.9770987006765072,0.0319625,0.014245833333333333,464658,15342,6838,473162
0.1490000,0.9770104166666667,0.9688658265381764,0.9856958333333333,0.9856958333333333,0.9772083714570737,0.0316750,0.014304166666666666,464796,15204,6866,473134
0.1510000,0.9770875,0.9691202740130124,0.9855791666666667,0.9855791666666667,0.9772804270403821,0.031404166666666664,0.014420833333333334,464926,15074,6922,473078
0.1530000,0.9771666666666666,0.9693827362898598,0.9854583333333333,0.9854583333333333,0.9773544361337245,0.0311250,0.014541666666666666,465060,14940,6980,473020
0.1550000,0.9772479166666667,0.9696147207268523,0.9853750,0.9853750,0.9774313340951972,0.030879166666666666,0.0146250,465178,14822,7020,472980
0.1570000,0.9773458333333334,0.9698786780086459,0.9852916666666667,0.9852916666666667,0.9775244205417785,0.0306000,0.014708333333333334,465312,14688,7060,472940
0.1590000,0.9774166666666667,0.9700756519027849,0.9852250,0.9852250,0.9775916386217618,0.030391666666666668,0.0147750,465412,14588,7092,472908
0.1610000,0.9774979166666666,0.9703080818651532,0.9851416666666667,0.9851416666666667,0.9776686122120707,0.030145833333333334,0.014858333333333333,465530,14470,7132,472868
0.1630000,0.9775813,0.9705678286537728,0.9850333333333333,0.9850333333333333,0.9777470806097064,0.029870833333333333,0.014966666666666666,465662,14338,7184,472816
0.1650000,0.9776688,0.9708086752608862,0.9849541666666667,0.9849541666666667,0.9778302657513904,0.029616666666666666,0.015045833333333333,465784,14216,7222,472778
0.1670000,0.9777229166666667,0.9709935956685523,0.9848666666666667,0.9848666666666667,0.9778809297745895,0.029420833333333334,0.015133333333333334,465878,14122,7264,472736
0.1690000,0.9777770833333334,0.9711708750231134,0.9847875,0.9847875,0.9779317906757834,0.029233333333333333,0.0152125,465968,14032,7302,472698
0.1710000,0.9778395833333333,0.9713719671342784,0.9847000,0.9847000,0.9779905771447134,0.029020833333333333,0.0153000,466070,13930,7344,472656
0.17300000000000001,0.9778979166666667,0.9715690668157766,0.9846083333333333,0.9846083333333333,0.9780452422390583,0.0288125,0.015391666666666666,466170,13830,7388,472612
0.17500000000000002,0.9779375,0.9717109159099881,0.9845375,0.9845375,0.9780821577587919,0.0286625,0.0154625,466242,13758,7422,472578
0.1770000,0.9779791666666666,0.9719189409335122,0.9844000,0.9844000,0.9781196567042449,0.028441666666666667,0.0156000,466348,13652,7488,472512
0.1790000,0.9780563,0.9721329487142557,0.9843291666666667,0.9843291666666667,0.9781930432226181,0.028216666666666668,0.015670833333333332,466456,13544,7522,472478
0.1810000,0.9781125,0.9723148,0.9842500,0.9842500,0.9782460150824315,0.0280250,0.0157500,466548,13452,7560,472440
0.1830000,0.9781708333333333,0.9724930419459495,0.9841791666666667,0.9841791666666667,0.9783012069151183,0.0278375,0.015820833333333333,466638,13362,7594,472406
0.1850000,0.9782813,0.9727637036091284,0.9841166666666666,0.9841166666666666,0.9784072526776042,0.027554166666666668,0.015883333333333333,466774,13226,7624,472376
0.1870000,0.9783333333333334,0.9729495904948667,0.9840250,0.9840250,0.9784559548569393,0.0273583,0.0159750,466868,13132,7668,472332
0.1890000,0.9783875,0.9731434929531031,0.9839291666666666,0.9839291666666666,0.9785066092073095,0.027154166666666667,0.016070833333333333,466966,13034,7714,472286
0.1910000,0.9784645833333333,0.9733387,0.9838791666666666,0.9838791666666666,0.9785805606725252,0.0269500,0.016120833333333334,467064,12936,7738,472262
0.1930000,0.9785125,0.9734778521719054,0.9838291666666666,0.9838291666666666,0.9786261377012218,0.026804166666666667,0.016170833333333332,467134,12866,7762,472238
0.1950000,0.9785813,0.9736728154499004,0.9837625,0.9837625,0.9786916538683944,0.0266000,0.0162375,467232,12768,7794,472206
0.1970000,0.9786125,0.9738033955353166,0.9836875,0.9836875,0.9787204934955104,0.0264625,0.0163125,467298,12702,7830,472170
0.1990000,0.9786563,0.9739816064068129,0.9835875,0.9835875,0.9787609848932451,0.0262750,0.0164125,467388,12612,7878,472122
0.2010000,0.9786958333333333,0.9741323098510173,0.9835083333333333,0.9835083333333333,0.9787978685907404,0.026116666666666667,0.0164917,467464,12536,7916,472084
0.2030000,0.9787229166666667,0.9742941946243617,0.9833916666666667,0.9833916666666667,0.9788217924232904,0.025945833333333335,0.016608333333333333,467546,12454,7972,472028
0.20500000000000002,0.9787438,0.9744049216540391,0.9833166666666666,0.9833166666666666,0.9788405105818185,0.025829166666666667,0.016683333333333335,467602,12398,8008,471992
0.20700000000000002,0.9787979166666667,0.9745722462903232,0.9832500,0.9832500,0.9788918917237216,0.025654166666666665,0.0167500,467686,12314,8040,471960
0.20900000000000002,0.9788375,0.9747193099858725,0.9831750,0.9831750,0.9789288959139731,0.0255000,0.0168250,467760,12240,8076,471924
0.2110000,0.9788770833333333,0.9748625164752984,0.9831041666666667,0.9831041666666667,0.9789659958218281,0.0253500,0.016895833333333332,467832,12168,8110,471890
0.2130000,0.9789354166666666,0.9750302719724928,0.9830458333333333,0.9830458333333333,0.9790216464407758,0.0251750,0.016954166666666666,467916,12084,8138,471862
0.2150000,0.9789625,0.9751533539458673,0.9829708333333333,0.9829708333333333,0.9790464886579626,0.025045833333333333,0.017029166666666668,467978,12022,8174,471826
0.2170000,0.9789938,0.9753199230944161,0.9828583333333333,0.9828583333333333,0.9790746,0.0248708,0.017141666666666666,468062,11938,8228,471772
0.2190000,0.9790083333333334,0.9754346495508759,0.9827666666666667,0.9827666666666667,0.9790869316153457,0.0247500,0.017233333333333333,468120,11880,8272,471728
0.2210000,0.9790395833333333,0.9755777734573748,0.9826791666666667,0.9826791666666667,0.9791155938698113,0.0246000,0.017320833333333334,468192,11808,8314,471686
0.2230000,0.9790875,0.9757611367191056,0.9825833333333334,0.9825833333333334,0.9791603519363558,0.024408333333333334,0.017416666666666667,468284,11716,8360,471640
0.2250000,0.9791229166666666,0.9759321879565744,0.9824750,0.9824750,0.9791926645889092,0.024229166666666666,0.0175250,468370,11630,8412,471588
0.2270000,0.9791583333333334,0.9760599763207789,0.9824125,0.9824125,0.9792259356012311,0.024095833333333334,0.0175875,468434,11566,8442,471558
0.2290000,0.9792083333333333,0.9762239962899165,0.9823416666666667,0.9823416666666667,0.9792732770651958,0.0239250,0.017658333333333335,468516,11484,8476,471524
0.2310000,0.9792458333333334,0.9763598863551649,0.9822750,0.9822750,0.9793085113011835,0.023783333333333333,0.0177250,468584,11416,8508,471492
0.2330000,0.9793041666666666,0.9765323,0.9822125,0.9822125,0.9793641825025551,0.023604166666666666,0.0177875,468670,11330,8538,471462
0.23500000000000001,0.9793229166666667,0.9766398316145365,0.9821375,0.9821375,0.9793810,0.023491666666666668,0.0178625,468724,11276,8574,471426
0.23700000000000002,0.9793750,0.9767963265339953,0.9820791666666666,0.9820791666666666,0.9794306230235736,0.023329166666666668,0.017920833333333334,468802,11198,8602,471398
0.23900000000000002,0.9794020833333333,0.9769240653769787,0.9820000,0.9820000,0.9794555,0.023195833333333332,0.0180000,468866,11134,8640,471360
0.2410000,0.9794063,0.9770389442392129,0.9818875,0.9818875,0.9794572217684869,0.0230750,0.0181125,468924,11076,8694,471306
0.2430000,0.9794541666666666,0.9771796105231729,0.9818375,0.9818375,0.9795030178075587,0.022929166666666667,0.0181625,468994,11006,8718,471282
0.2450000,0.9794938,0.9773357944293506,0.9817541666666667,0.9817541666666667,0.9795399981292287,0.022766666666666668,0.018245833333333333,469072,10928,8758,471242
0.2470000,0.9795354166666667,0.9774763001223888,0.9816916666666666,0.9816916666666666,0.9795794484808799,0.022620833333333333,0.018308333333333333,469142,10858,8788,471212
0.2490000,0.9795604166666667,0.9776161210405973,0.9815958333333333,0.9815958333333333,0.9796019,0.0224750,0.018404166666666666,469212,10788,8834,471166
0.2510000,0.9795916666666666,0.9777404225293653,0.9815291666666667,0.9815291666666667,0.9796311313496767,0.022345833333333332,0.018470833333333332,469274,10726,8866,471134
0.2530000,0.9796520833333333,0.9779097,0.9814750,0.9814750,0.9796891083961529,0.022170833333333334,0.0185250,469358,10642,8892,471108
0.2550000,0.9796604166666667,0.9780053232349656,0.9813916666666667,0.9813916666666667,0.9796955687133317,0.022070833333333335,0.018608333333333334,469406,10594,8932,471068
0.2570000,0.9796813,0.9781054939761038,0.9813291666666667,0.9813291666666667,0.9797146785193567,0.021966666666666666,0.018670833333333334,469456,10544,8962,471038
0.2590000,0.9796875,0.9781732845987705,0.9812708333333333,0.9812708333333333,0.9797196106165239,0.021895833333333333,0.0187292,469490,10510,8990,471010
0.2610000,0.9797125,0.9783015105438955,0.9811875,0.9811875,0.9797423799895154,0.0217625,0.0188125,469554,10446,9030,470970
0.2630000,0.9797313,0.9784295,0.9810916666666667,0.9810916666666667,0.9797587864842204,0.021629166666666668,0.018908333333333333,469618,10382,9076,470924
0.2650000,0.9797625,0.9785859761419843,0.9809916666666667,0.9809916666666667,0.9797873447221124,0.021466666666666665,0.019008333333333332,469696,10304,9124,470876
0.2670000,0.9797688,0.9786658241634899,0.9809208333333334,0.9809208333333334,0.9797920312639812,0.021383333333333334,0.019079166666666668,469736,10264,9158,470842
0.2690000,0.9797979166666667,0.9788063884372779,0.9808333333333333,0.9808333333333333,0.9798188126044491,0.0212375,0.019166666666666665,469806,10194,9200,470800
0.2710000,0.9798291666666666,0.9789311707215638,0.9807666666666667,0.9807666666666667,0.9798480591112498,0.021108333333333333,0.019233333333333335,469868,10132,9232,470768
0.2730000,0.9798563,0.9790518421151151,0.9806958333333333,0.9806958333333333,0.9798731481693496,0.020983333333333333,0.019304166666666667,469928,10072,9266,470734
0.2750000,0.9798750,0.9791762013729977,0.9806041666666667,0.9806041666666667,0.9798896637868221,0.020854166666666667,0.019395833333333334,469990,10010,9310,470690
0.2770000,0.9798479166666667,0.9792508499827298,0.9804708333333333,0.9804708333333333,0.9798604619205953,0.0207750,0.019529166666666667,470028,9972,9374,470626
0.2790000,0.9798875,0.9793881373569199,0.9804083333333333,0.9804083333333333,0.9798979698073919,0.020633333333333333,0.019591666666666667,470096,9904,9404,470596
0.2810000,0.9799020833333333,0.9794845322198585,0.9803375,0.9803375,0.9799108304925563,0.020533333333333334,0.0196625,470144,9856,9438,470562
0.28300000000000003,0.9799020833333333,0.9796003347893617,0.9802166666666666,0.9802166666666666,0.9799084038146333,0.0204125,0.019783333333333333,470202,9798,9496,470504
0.28500000000000003,0.9798938,0.9796719017454427,0.9801250,0.9801250,0.9798984,0.0203375,0.0198750,470238,9762,9540,470460
0.28700000000000003,0.9799083333333334,0.9797843890328332,0.9800375,0.9800375,0.9799109281717778,0.020220833333333334,0.0199625,470294,9706,9582,470418
0.28900000000000003,0.9799041666666667,0.9798641779851679,0.9799458333333333,0.9799458333333333,0.9799050039581684,0.0201375,0.020054166666666668,470334,9666,9626,470374
0.2910000,0.9799313,0.9799652475383673,0.9798958333333333,0.9798958333333333,0.9799305,0.020033333333333334,0.020104166666666666,470384,9616,9650,470350
0.2930000,0.9799438,0.9800857753752151,0.9797958333333333,0.9797958333333333,0.9799407829074717,0.019908333333333333,0.020204166666666665,470444,9556,9698,470302
0.2950000,0.9799791666666666,0.9802232801674184,0.9797250,0.9797250,0.9799740767445059,0.019766666666666665,0.0202750,470512,9488,9732,470268
0.2970000,0.9800375,0.9803977983487616,0.9796625,0.9796625,0.9800300112542204,0.0195875,0.0203375,470598,9402,9762,470238
0.2990000,0.9800229166666666,0.9804813759795805,0.9795458333333333,0.9795458333333333,0.9800133813840353,0.0195000,0.020454166666666666,470640,9360,9818,470182
0.3010000,0.9800041666666667,0.9805688350478479,0.9794166666666667,0.9794166666666667,0.9799924122088395,0.019408333333333333,0.020583333333333332,470684,9316,9880,470120
0.3030000,0.9800125,0.9806573819874999,0.9793416666666667,0.9793416666666667,0.9799991,0.019316666666666666,0.020658333333333334,470728,9272,9916,470084
0.3050000,0.9800188,0.9807619278134115,0.9792458333333334,0.9792458333333334,0.9800032942128187,0.019208333333333334,0.020754166666666667,470780,9220,9962,470038
0.3070000,0.9800333333333333,0.9808748643459387,0.9791583333333334,0.9791583333333334,0.9800158,0.019091666666666667,0.020841666666666668,470836,9164,10004,469996
0.3090000,0.9800333333333333,0.9809551640644569,0.9790750,0.9790750,0.9800141802560789,0.019008333333333332,0.0209250,470876,9124,10044,469956
0.3110000,0.9800354166666667,0.9810556555361162,0.9789750,0.9789750,0.9800142234160808,0.018904166666666666,0.0210250,470926,9074,10092,469908
0.3130000,0.9800520833333334,0.9811607579130246,0.9789000,0.9789000,0.9800290751636781,0.018795833333333335,0.0211000,470978,9022,10128,469872
0.3150000,0.9800750,0.9812460320112273,0.9788583333333334,0.9788583333333334,0.9800507283862032,0.018708333333333334,0.021141666666666666,471020,8980,10148,469852
0.3170000,0.9800750,0.9813385135981952,0.9787625,0.9787625,0.9800488140684648,0.0186125,0.0212375,471066,8934,10194,469806
0.3190000,0.9800479166666667,0.9813696775730025,0.9786750,0.9786750,0.9800204864595351,0.018579166666666667,0.0213250,471082,8918,10236,469764
0.3210000,0.9800583333333334,0.9814706472318802,0.9785916666666666,0.9785916666666666,0.9800290425958071,0.0184750,0.021408333333333335,471132,8868,10276,469724
0.3230000,0.9800729166666666,0.9815838861093347,0.9785041666666666,0.9785041666666666,0.9800416069375499,0.018358333333333334,0.021495833333333332,471188,8812,10318,469682
0.3250000,0.9800708333333333,0.9816724,0.9784083333333333,0.9784083333333333,0.9800376459196747,0.018266666666666667,0.021591666666666665,471232,8768,10364,469636
